"region","city","village"
"Вінницька область",50.8,"49.2"
"Волинська область",52.3,"47.7"
"Дніпропетровська область",83.6,"16.4"
"Донецька область",90.7,"9.3"
"Житомирська область",58.8,"41.2"
"Закарпатська область",37.1,"62.9"
"Запорізька область",77.2,"22.8"
"Івано-Франківська область",43.7,"56.3"
"Київська область",62.2,"37.8"
"Кіровоградська область",62.9,"37.1"
"Луганська область",86.9,"13.1"
"Львівська область",61,"39.0"
"м. Київ",100,"0"
"Миколаївська область",68.3,"31.7"
"Одеська область",66.8,"33.2"
"Полтавська область",62,"38.0"
"Рівненська область",47.6,"52.4"
"Сумська область",68.6,"31.4"
"Тернопільська область",44.6,"55.4"
"Харківська область",80.6,"19.4"
"Херсонська область",61.2,"38.8"
"Хмельницька область",56.4,"43.6"
"Черкаська область",56.8,"43.2"
"Чернівецька область",43.1,"56.9"
"Чернігівська область",64.6,"35.4"
