"region","city","village"
"Вінницька область",51.2,"48.8"
"Волинська область",52.3,"47.7"
"Дніпропетровська область",83.8,"16.2"
"Донецька область",90.8,"9.2"
"Житомирська область",59,"41.0"
"Закарпатська область",37,"63.0"
"Запорізька область",77.3,"22.7"
"Івано-Франківська область",44,"56.0"
"Київська область",62.1,"37.9"
"Кіровоградська область",63.1,"36.9"
"Луганська область",86.9,"13.1"
"Львівська область",61,"39.0"
"м. Київ",100,"0"
"Миколаївська область",68.3,"31.7"
"Одеська область",66.9,"33.1"
"Полтавська область",62.2,"37.8"
"Рівненська область",47.5,"52.5"
"Сумська область",68.9,"31.1"
"Тернопільська область",44.9,"55.1"
"Харківська область",80.9,"19.1"
"Херсонська область",61.3,"38.7"
"Хмельницька область",56.7,"43.3"
"Черкаська область",56.5,"43.5"
"Чернівецька область",43.1,"56.9"
"Чернігівська область",64.9,"35.1"
